Stock	Price
Stock01	24.82
Stock02	41.56
Stock03	69.16
Stock04	21.08
Stock05	20.11
Stock06	16.70
Stock07	87.02
Stock08	51.00
Stock09	28.57
Stock10	54.58
Stock11	26.79
Stock12	81.53
Stock13	66.25
Stock14	5.52
Stock15	16.69
Stock16	7.59
Stock17	32.41
Stock18	0.85
Stock19	46.60
Stock20	60.39
Stock21	3.13
Stock22	48.62
Stock23	41.70
Stock24	24.03
Stock25	69.30
Stock26	68.84
Stock27	79.73
Stock28	13.93
Stock29	24.54
Stock30	54.17
Stock31	69.96
Stock32	40.72
Stock33	19.08
Stock34	54.27
Stock35	82.15
Stock36	54.17
Stock37	67.95
Stock38	20.72
Stock39	31.50
Stock40	0.08
Stock41	31.81
Stock42	18.76
Stock43	67.31
Stock44	5.55
Stock45	41.09
Stock46	65.09
Stock47	50.68
Stock48	12.14
Stock49	72.60
Stock50	53.49
Stock51	13.59
Stock52	0.32
Stock53	66.33
Stock54	44.14
Stock55	39.14
Stock56	28.84
Stock57	39.17
Stock58	19.91
Stock59	31.71
Stock60	7.71
Stock61	88.49
Stock62	47.36
Stock63	51.41
Stock64	12.55
Stock65	0.72
Stock66	32.16
Stock67	5.48
Stock68	2.06
Stock69	62.62
Stock70	29.32
Stock71	19.13
Stock72	26.81
Stock73	53.04
Stock74	64.39
Stock75	22.58
Stock76	100.81
Stock77	17.16
Stock78	15.39
Stock79	83.16
Stock80	54.02
Stock81	27.31
Stock82	29.25
Stock83	38.64
Stock84	109.03
Stock85	26.26
Stock86	49.22
Stock87	49.19
Stock88	11.71
Stock89	68.34
Stock90	11.68
Stock91	12.09
Stock92	65.89
Stock93	54.40
Stock94	22.99
Stock95	29.35
Stock96	67.74
Stock97	3.03
Stock98	29.88
Stock99	24.06
