Symbol	quant
Stock01	3300
Stock02	3500
Stock03	1800
Stock04	1800
Stock05	1700
Stock06	1300
Stock07	2600
Stock08	2000
Stock09	3000
Stock10	1600
Stock11	2100
Stock12	3600
Stock13	1500
Stock14	2000
Stock15	 400
Stock16	 300
Stock17	3900
Stock18	2800
Stock19	 900
Stock20	3200
Stock21	 200
Stock22	 900
Stock23	3200
Stock24	 100
Stock25	 600
Stock26	1000
Stock27	 600
Stock28	 300
Stock29	3900
Stock30	 300
Stock31	 600
Stock32	2500
Stock33	2700
Stock34	 100
Stock35	1900
Stock36	2900
Stock37	3600
Stock38	2400
Stock39	 700
Stock40	 600
Stock41	3500
Stock42	 200
Stock43	3300
Stock44	1400
Stock45	2600
Stock46	2800
Stock47	3700
Stock48	3800
Stock49	 200
Stock50	2200
Stock51	3000
Stock52	3200
Stock53	 300
Stock54	2200
Stock55	1500
Stock56	3300
Stock57	1000
Stock58	3400
Stock59	3900
Stock60	1700
Stock61	 400
Stock62	1600
Stock63	2600
Stock64	 800
Stock65	 900
Stock66	2800
Stock67	2000
Stock68	1500
Stock69	 400
Stock70	 600
Stock71	3200
Stock72	 800
Stock73	1500
Stock74	1200
Stock75	3100
Stock76	3500
Stock77	3500
Stock78	1900
Stock79	 400
Stock80	1500
Stock81	2000
Stock82	3000
Stock83	 400
Stock84	1700
Stock85	1100
Stock86	2500
Stock87	2800
Stock88	3500
Stock89	1400
Stock90	1300
Stock91	1000
Stock92	 400
Stock93	1000
Stock94	 700
Stock95	2100
Stock96	2400
Stock97	3300
Stock98	1500
Stock99	3300
